id,name,classification,size,special_notes,habitat_hokkaido,habitat_honshu,habitat_shikoku,habitat_kyushu,habitat_islands,type,season,rarity,description,photo_url,observed_date,observed_location,学名,sub-sp
178,コウライウグイス,スズメ目 コウライウグイス科 コウライウグイス属,26cm,,0,0,0,0,0,その他,迷鳥,5,,,,,Oriolus chinensis,
179,ゴジュウカラ,スズメ目 ゴジュウカラ科 ゴジュウカラ属,14cm,,1,1,1,1,0,カラ類,留鳥,2,,,,,Sitta europaea,
180,サンコウチョウ,スズメ目 カササギヒタキ科,45cm,IUCN(NT),0,1,1,1,1,その他,夏鳥,3,,,,,Terpsiphone atrocaudata,
181,アサクラサンショウクイ,スズメ目 サンショウクイ科,18-21cm,,0,0,0,0,1,その他,留鳥,3,,,,,Coracina melaschistos,
182,サンショウクイ,スズメ目 サンショウクイ科 サンショウクイ属,20cm,,1,1,1,1,1,その他,夏鳥,1,,,,,Pericrocotus divaricatus,
183,ヒイロサンショウクイ,スズメ目 サンショウクイ科 サンショウクイ属,20cm,,0,0,0,0,0,その他,迷鳥,5,,,,,Pericrocotus flammeus,
184,リュウキュウサンショウクイ,スズメ目 サンショウクイ科 サンショウクイ属,20cm,,0,0,0,1,1,その他,留鳥,2,,,,,Pericrocotus tegimae,
185,ルリガラ,スズメ目 シジュウカラ科 アオガラ属,12cm,,0,0,0,0,0,カラ類,迷鳥,5,,,,,Cyanistes cyanus,
186,キバラガラ,スズメ目 シジュウカラ科 キバラガラ属,13cm,,0,0,0,0,0,カラ類,迷鳥,5,,,,,Periparus venustulus,
187,コガラ,スズメ目 シジュウカラ科 コガラ属,13cm,,1,1,1,1,0,カラ類,留鳥,1,,,,,Poecile montanus,
188,ハシブトガラ,スズメ目 シジュウカラ科 コガラ属,12.5cm,,1,0,0,0,0,カラ類,留鳥,2,,,,,Poecile palustris,
189,シジュウカラ,スズメ目 シジュウカラ科 シジュウカラ属,14.5cm,,1,1,1,1,1,カラ類,留鳥,1,,,,,Parus minor,
190,ヒガラ,スズメ目 シジュウカラ科 シジュウカラ属,11cm,,1,1,1,1,1,カラ類,留鳥,1,,,,,Periparus ater,
191,ヤマガラ,スズメ目 シジュウカラ科 シジュウカラ属,14cm,,1,1,1,1,1,カラ類,留鳥,1,,,,,Poecile varius,
192,イエスズメ,スズメ目 スズメ科,15cm,外来種,0,0,0,0,0,その他,迷鳥,5,,,,,Passer domesticus,
193,スズメ,スズメ目 スズメ科 スズメ属,14.5cm,,1,1,1,1,1,その他,留鳥,1,,,,,Passer montanus,
194,ニュウナイスズメ,スズメ目 スズメ科 スズメ属,14cm,,1,1,1,1,0,その他,夏鳥,2,,,,,Passer rutilans,
195,ユキスズメ,スズメ目 スズメ科 ユキスズメ属,16cm,,1,1,1,1,1,その他,冬鳥,4,,,,,Montifringilla nivalis,
196,ウスベニタヒバリ,スズメ目 セキレイ科,16cm,,0,0,0,0,0,セキレイ,迷鳥,5,,,,,Anthus roseatus,
197,イワミセキレイ,スズメ目 セキレイ科 セキレイ属,19cm,,0,0,0,0,0,セキレイ,迷鳥,5,,,,,Dendronanthus indicus,
198,キガシラセキレイ,スズメ目 セキレイ科 セキレイ属,18cm,,1,1,1,1,1,セキレイ,冬鳥,4,,,,,Motacilla citreola,
199,キセキレイ,スズメ目 セキレイ科 セキレイ属,20cm,,1,1,1,1,1,セキレイ,留鳥,1,,,,,Motacilla cinerea,
200,セグロセキレイ,スズメ目 セキレイ科 セキレイ属,21cm,,1,1,1,1,1,セキレイ,留鳥,1,,,,,Motacilla grandis,
201,ツメナガセキレイ,スズメ目 セキレイ科 セキレイ属,16.5cm,,1,1,1,1,1,セキレイ,旅鳥,2,,,,,Motacilla flava,
202,ハクセキレイ,スズメ目 セキレイ科 セキレイ属,21cm,,1,1,1,1,1,セキレイ,留鳥,1,,,,,Motacilla alba,
203,コマミジロタヒバリ,スズメ目 セキレイ科 タヒバリ属,15cm,,1,1,1,1,1,その他,冬鳥,4,,,,,Anthus godlewskii,
204,サメイロタヒバリ,スズメ目 セキレイ科 タヒバリ属,15cm,,0,0,0,0,0,その他,迷鳥,5,,,,,Anthus campestris,
205,セジロタヒバリ,スズメ目 セキレイ科 タヒバリ属,18cm,,0,0,0,0,0,その他,迷鳥,5,,,,,Anthus gustavi,
206,タヒバリ,スズメ目 セキレイ科 タヒバリ属,16cm,,1,1,1,1,1,セキレイ,冬鳥,1,,,,,Anthus rubescens,
207,ビンズイ,スズメ目 セキレイ科 タヒバリ属,15cm,,1,1,1,1,1,その他,冬鳥,2,,,,,Anthus hodgsoni,
208,マキバタヒバリ,スズメ目 セキレイ科 タヒバリ属,15cm,,0,0,0,0,0,その他,迷鳥,5,,,,,Anthus pratensis,
209,マミジロタヒバリ,スズメ目 セキレイ科 タヒバリ属,17cm,,1,1,1,1,1,その他,冬鳥,3,,,,,Anthus richardi,
210,ムネアカタヒバリ,スズメ目 セキレイ科 タヒバリ属,17cm,,1,1,1,1,1,その他,冬鳥,3,,,,,Anthus cervinus,
211,ヨーロッパビンズイ,スズメ目 セキレイ科 タヒバリ属,15cm,,0,0,0,0,0,その他,迷鳥,5,,,,,Anthus trivialis,
212,セッカ,スズメ目 セッカ科 セッカ属,12.5cm,,0,1,1,1,1,ムシクイ,留鳥,1,,,,,Cisticola juncidis,
213,シベリアセンニュウ,スズメ目 ヨシキリ科,13cm,,1,1,0,0,1,その他,旅鳥,4,,,,,Locustella certhiola,
214,オオセッカ,スズメ目 センニュウ科 オオセッカ属,18cm,IUCN(VU),1,1,0,0,0,ムシクイ,夏鳥,3,,,,,Locustella pryeri,
215,マキノセンニュウ,スズメ目 センニュウ科 オオセッカ属,17cm,,1,1,0,0,0,ムシクイ,夏鳥,3,,,,,Locustella lanceolata,
216,ウチヤマセンニュウ,スズメ目 センニュウ科 センニュウ属,14cm,IUCN(NT),0,0,0,0,1,ムシクイ,留鳥,3,,,,,Locustella pleskei,
217,エゾセンニュウ,スズメ目 センニュウ科 センニュウ属,15.5cm,,1,1,1,1,1,ムシクイ,夏鳥,2,,,,,Locustella fasciolata,
218,シマセンニュウ,スズメ目 センニュウ科 センニュウ属,13.5cm,,1,1,0,0,1,ムシクイ,夏鳥,2,,,,,Locustella ochotensis,
219,カラフトムジセッカ,スズメ目 ムシクイ科,12cm,,0,0,0,0,0,ムシクイ,迷鳥,5,,,,,Phylloscopus schwarzi,
220,ダルマエナガ,スズメ目 ダルマエナガ科 ダルマエナガ属,10cm,,0,0,0,1,0,カラ類,留鳥,3,,,,,Paradoxornis webbianus,
221,クロウタドリ,スズメ目 ヒタキ科,25cm,,0,0,0,0,0,その他,迷鳥,5,,,,,Turdus merula,
222,アカコッコ,スズメ目 ヒタキ科,23cm,天然記念物;IUCN(VU),0,0,0,0,1,その他,留鳥,3,,,,,Turdus celaenops,
223,アカハラ,スズメ目 ヒタキ科,24cm,,1,1,1,1,1,その他,夏鳥,1,,,,,Turdus chrysolaus,
224,ウタツグミ,スズメ目 ツグミ科 ツグミ属,23cm,,0,0,0,0,0,その他,迷鳥,5,,,,,Turdus philomelos,
225,クロツグミ,スズメ目 ヒタキ科,22cm,,1,1,1,1,0,その他,夏鳥,2,,,,,Turdus cardis,
226,シロハラ,スズメ目 ヒタキ科,25cm,,1,1,1,1,1,その他,冬鳥,1,,,,,Turdus pallidus,
227,ツグミ,スズメ目 ヒタキ科,24cm,,1,1,1,1,1,その他,冬鳥,1,,,,,Turdus naumanni,
228,ノドグロツグミ,スズメ目 ヒタキ科,25cm,,0,0,0,0,0,その他,迷鳥,5,,,,,Turdus ruficollis,
229,ノハラツグミ,スズメ目 ヒタキ科,26cm,,0,0,0,0,0,その他,迷鳥,5,,,,,Turdus pilaris,
230,マミチャジナイ,スズメ目 ヒタキ科,22cm,,1,1,1,1,1,その他,旅鳥,2,,,,,Turdus obscurus,
231,ヤドリギツグミ,スズメ目 ヒタキ科,27cm,,0,0,0,0,0,その他,迷鳥,5,,,,,Turdus viscivorus,
232,ワキアカツグミ,スズメ目 ヒタキ科,25cm,,0,0,0,0,0,その他,迷鳥,5,,,,,Turdus iliacus,
233,トラツグミ,スズメ目 ヒタキ科,30cm,,1,1,1,1,1,その他,留鳥,1,,,,,Zoothera dauma,
234,モリツグミ,スズメ目 ツグミ科 モリツグミ属,25cm,,0,0,0,0,0,その他,迷鳥,5,,,,,Hylocichla mustelina,
235,タイワンショウドウツバメ,スズメ目 ツバメ科,12cm,,0,0,0,0,0,ツバメ類,迷鳥,5,,,,,Riparia paludicola,
236,ミドリツバメ,スズメ目 ツバメ科,12cm,,0,0,0,0,0,ツバメ類,迷鳥,5,,,,,Tachycineta bicolor,
237,イワツバメ,スズメ目 ツバメ科 イワツバメ属,14cm,,1,1,1,1,0,ツバメ類,夏鳥,1,,,,,Delichon dasypus,
238,ニシイワツバメ,スズメ目 ツバメ科 イワツバメ属,14cm,,0,0,0,0,0,ツバメ類,迷鳥,5,,,,,Delichon urbicum,
239,ショウドウツバメ,スズメ目 ツバメ科 ショウドウツバメ属,13cm,,1,1,1,1,0,ツバメ類,夏鳥,2,,,,,Riparia riparia,
240,コシアカツバメ,スズメ目 ツバメ科 ツバメ属,18cm,,1,1,1,1,0,ツバメ類,夏鳥,1,,,,,Hirundo daurica,
241,ツバメ,スズメ目 ツバメ科 ツバメ属,17cm,,1,1,1,1,0,ツバメ類,夏鳥,1,,,,,Hirundo rustica,
242,リュウキュウツバメ,スズメ目 ツバメ科 ツバメ属,13cm,,0,0,0,1,1,ツバメ類,留鳥,2,,,,,Hirundo tahitica,
243,ツメナガホオジロ,スズメ目 ツメナガホオジロ科,16cm,,1,1,1,1,1,その他,冬鳥,3,,,,,Calcarius lapponicus,
244,ツリスガラ,スズメ目 ツリスガラ科,11cm,,1,1,1,1,1,その他,冬鳥,3,,,,,Remiz pendulinus,
245,ヒゲガラ,スズメ目 ヒゲガラ科,16.5cm,,0,0,0,0,0,その他,迷鳥,5,,,,,Panurus biarmicus,
246,イソヒヨドリ,スズメ目 ヒタキ科,23cm,,1,1,1,1,1,その他,留鳥/漂鳥,1,,,,,Monticola solitarius,
247,オジロビタキ,スズメ目 ヒタキ科,11-12cm,,1,1,1,1,1,その他,冬鳥,3,,,,,Ficedula albicilla,
248,カラアカハラ,スズメ目 ヒタキ科,22cm,,1,1,0,0,1,その他,旅鳥,4,,,,,Turdus hortulorum,
249,クロノビタキ,スズメ目 ヒタキ科,13cm,,0,0,0,0,0,その他,迷鳥,5,,,,,Saxicola caprata,
250,チャバラオオルリ,スズメ目 ヒタキ科,16cm,,0,0,0,0,0,その他,迷鳥,5,,,,,Niltava vivida,
251,ハイイロチャツグミ,スズメ目 ヒタキ科,20-25cm,,0,0,0,0,0,その他,迷鳥,5,,,,,Catharus minimus,
252,マダラヒタキ,スズメ目 ヒタキ科,13cm,,0,0,0,0,0,ヒタキ,迷鳥,5,,,,,Ficedula hypoleuca,
253,マミジロ,スズメ目 ヒタキ科,24cm,,1,1,1,1,1,その他,夏鳥/旅鳥,3,,,,,Zoothera sibirica,
254,マミジロノビタキ,スズメ目 ヒタキ科,14cm,,0,0,0,0,0,ヒタキ,迷鳥,5,,,,,Saxicola rubetra,
255,ミヤマヒタキ,スズメ目 ヒタキ科,13cm,,1,1,1,1,1,ヒタキ,冬鳥,4,,,,,Muscicapa ferruginea,
